Breakfast Suggestion,Lunch Suggestion,Dinner Suggestion,Snack Suggestion,Meal Plan
Upma with vegetables,Paneer wrap with veggies,Chapati with dal and mixed vegetables,Fruit smoothie,Upma with vegetables; Paneer wrap with veggies; Chapati with dal and mixed vegetables; Fruit smoothie
Upma with vegetables,Paneer wrap with veggies,Grilled chicken with salad,Boiled eggs,Upma with vegetables; Paneer wrap with veggies; Grilled chicken with salad; Boiled eggs
Upma with vegetables,Lentil curry with rice,Chapati with dal and mixed vegetables,Nuts and dry fruits,Upma with vegetables; Lentil curry with rice; Chapati with dal and mixed vegetables; Nuts and dry fruits
Multigrain toast with egg,Chicken salad with whole grain bread,Grilled chicken with salad,Fruit smoothie,Multigrain toast with egg; Chicken salad with whole grain bread; Grilled chicken with salad; Fruit smoothie
Protein shake with banana,Rajma chawal with salad,High-protein pasta,Granola bars,Protein shake with banana; Rajma chawal with salad; High-protein pasta; Granola bars
Upma with vegetables,Lentil curry with rice,Chapati with dal and mixed vegetables,Nuts and dry fruits,Upma with vegetables; Lentil curry with rice; Chapati with dal and mixed vegetables; Nuts and dry fruits
Egg sandwich,Rajma chawal with salad,Stuffed paneer chapati with salad,Nut mix with raisins,Egg sandwich; Rajma chawal with salad; Stuffed paneer chapati with salad; Nut mix with raisins
Multigrain toast with egg,Paneer wrap with veggies,Chapati with dal and mixed vegetables,Nuts and dry fruits,Multigrain toast with egg; Paneer wrap with veggies; Chapati with dal and mixed vegetables; Nuts and dry fruits
Upma with vegetables,Paneer wrap with veggies,Grilled chicken with salad,Fruit smoothie,Upma with vegetables; Paneer wrap with veggies; Grilled chicken with salad; Fruit smoothie
Multigrain toast with egg,Lentil curry with rice,Chapati with dal and mixed vegetables,Fruit smoothie,Multigrain toast with egg; Lentil curry with rice; Chapati with dal and mixed vegetables; Fruit smoothie
Paratha with curd,Chicken curry with brown rice,High-protein pasta,Granola bars,Paratha with curd; Chicken curry with brown rice; High-protein pasta; Granola bars
Upma with vegetables,Paneer wrap with veggies,Grilled chicken with salad,Nuts and dry fruits,Upma with vegetables; Paneer wrap with veggies; Grilled chicken with salad; Nuts and dry fruits
Protein shake with banana,Baked fish with quinoa,Stuffed paneer chapati with salad,Nut mix with raisins,Protein shake with banana; Baked fish with quinoa; Stuffed paneer chapati with salad; Nut mix with raisins
Oats with banana and nuts,Lentil curry with rice,Vegetable biryani,Boiled eggs,Oats with banana and nuts; Lentil curry with rice; Vegetable biryani; Boiled eggs
Oats with banana and nuts,Lentil curry with rice,Vegetable biryani,Fruit smoothie,Oats with banana and nuts; Lentil curry with rice; Vegetable biryani; Fruit smoothie
Protein shake with banana,Rajma chawal with salad,Turkey chili,Granola bars,Protein shake with banana; Rajma chawal with salad; Turkey chili; Granola bars
Protein shake with banana,Baked fish with quinoa,Turkey chili,Nut mix with raisins,Protein shake with banana; Baked fish with quinoa; Turkey chili; Nut mix with raisins
Protein shake with banana,Rajma chawal with salad,Turkey chili,Banana and peanut butter,Protein shake with banana; Rajma chawal with salad; Turkey chili; Banana and peanut butter
Oats with banana and nuts,Chicken salad with whole grain bread,Vegetable biryani,Boiled eggs,Oats with banana and nuts; Chicken salad with whole grain bread; Vegetable biryani; Boiled eggs
Oats with almond milk,Brown rice with spinach curry,Quinoa salad with steamed veggies,Roasted seeds,Oats with almond milk; Brown rice with spinach curry; Quinoa salad with steamed veggies; Roasted seeds
Oats with banana and nuts,Chicken salad with whole grain bread,Grilled chicken with salad,Nuts and dry fruits,Oats with banana and nuts; Chicken salad with whole grain bread; Grilled chicken with salad; Nuts and dry fruits
Multigrain toast with egg,Paneer wrap with veggies,Vegetable biryani,Fruit smoothie,Multigrain toast with egg; Paneer wrap with veggies; Vegetable biryani; Fruit smoothie
Protein shake with banana,Baked fish with quinoa,Stuffed paneer chapati with salad,Granola bars,Protein shake with banana; Baked fish with quinoa; Stuffed paneer chapati with salad; Granola bars
Multigrain toast with egg,Chicken salad with whole grain bread,Chapati with dal and mixed vegetables,Fruit smoothie,Multigrain toast with egg; Chicken salad with whole grain bread; Chapati with dal and mixed vegetables; Fruit smoothie
Protein shake with banana,Baked fish with quinoa,Turkey chili,Granola bars,Protein shake with banana; Baked fish with quinoa; Turkey chili; Granola bars
Oats with banana and nuts,Paneer wrap with veggies,Vegetable biryani,Boiled eggs,Oats with banana and nuts; Paneer wrap with veggies; Vegetable biryani; Boiled eggs
Egg sandwich,Chicken curry with brown rice,Turkey chili,Nut mix with raisins,Egg sandwich; Chicken curry with brown rice; Turkey chili; Nut mix with raisins
Egg sandwich,Rajma chawal with salad,Turkey chili,Banana and peanut butter,Egg sandwich; Rajma chawal with salad; Turkey chili; Banana and peanut butter
Protein shake with banana,Rajma chawal with salad,Turkey chili,Nut mix with raisins,Protein shake with banana; Rajma chawal with salad; Turkey chili; Nut mix with raisins
Paratha with curd,Chicken curry with brown rice,High-protein pasta,Nut mix with raisins,Paratha with curd; Chicken curry with brown rice; High-protein pasta; Nut mix with raisins
Oats with banana and nuts,Paneer wrap with veggies,Vegetable biryani,Fruit smoothie,Oats with banana and nuts; Paneer wrap with veggies; Vegetable biryani; Fruit smoothie
Paratha with curd,Rajma chawal with salad,Turkey chili,Nut mix with raisins,Paratha with curd; Rajma chawal with salad; Turkey chili; Nut mix with raisins
Multigrain toast with egg,Paneer wrap with veggies,Chapati with dal and mixed vegetables,Nuts and dry fruits,Multigrain toast with egg; Paneer wrap with veggies; Chapati with dal and mixed vegetables; Nuts and dry fruits
Low-fat yogurt with berries,Zucchini noodles with tomato sauce,Quinoa salad with steamed veggies,Roasted seeds,Low-fat yogurt with berries; Zucchini noodles with tomato sauce; Quinoa salad with steamed veggies; Roasted seeds
Oats with banana and nuts,Chicken salad with whole grain bread,Grilled chicken with salad,Fruit smoothie,Oats with banana and nuts; Chicken salad with whole grain bread; Grilled chicken with salad; Fruit smoothie
Protein shake with banana,Rajma chawal with salad,Turkey chili,Nut mix with raisins,Protein shake with banana; Rajma chawal with salad; Turkey chili; Nut mix with raisins
Multigrain toast with egg,Paneer wrap with veggies,Grilled chicken with salad,Fruit smoothie,Multigrain toast with egg; Paneer wrap with veggies; Grilled chicken with salad; Fruit smoothie
Upma with vegetables,Chicken salad with whole grain bread,Vegetable biryani,Fruit smoothie,Upma with vegetables; Chicken salad with whole grain bread; Vegetable biryani; Fruit smoothie
Paratha with curd,Baked fish with quinoa,High-protein pasta,Granola bars,Paratha with curd; Baked fish with quinoa; High-protein pasta; Granola bars
Paratha with curd,Baked fish with quinoa,High-protein pasta,Granola bars,Paratha with curd; Baked fish with quinoa; High-protein pasta; Granola bars
Oats with banana and nuts,Chicken salad with whole grain bread,Chapati with dal and mixed vegetables,Fruit smoothie,Oats with banana and nuts; Chicken salad with whole grain bread; Chapati with dal and mixed vegetables; Fruit smoothie
Egg sandwich,Baked fish with quinoa,Turkey chili,Nut mix with raisins,Egg sandwich; Baked fish with quinoa; Turkey chili; Nut mix with raisins
Oats with banana and nuts,Lentil curry with rice,Chapati with dal and mixed vegetables,Nuts and dry fruits,Oats with banana and nuts; Lentil curry with rice; Chapati with dal and mixed vegetables; Nuts and dry fruits
Egg sandwich,Rajma chawal with salad,High-protein pasta,Granola bars,Egg sandwich; Rajma chawal with salad; High-protein pasta; Granola bars
Oats with banana and nuts,Chicken salad with whole grain bread,Chapati with dal and mixed vegetables,Nuts and dry fruits,Oats with banana and nuts; Chicken salad with whole grain bread; Chapati with dal and mixed vegetables; Nuts and dry fruits
Upma with vegetables,Chicken salad with whole grain bread,Vegetable biryani,Boiled eggs,Upma with vegetables; Chicken salad with whole grain bread; Vegetable biryani; Boiled eggs
Paratha with curd,Rajma chawal with salad,High-protein pasta,Banana and peanut butter,Paratha with curd; Rajma chawal with salad; High-protein pasta; Banana and peanut butter
Oats with banana and nuts,Paneer wrap with veggies,Grilled chicken with salad,Nuts and dry fruits,Oats with banana and nuts; Paneer wrap with veggies; Grilled chicken with salad; Nuts and dry fruits
Egg sandwich,Baked fish with quinoa,Turkey chili,Granola bars,Egg sandwich; Baked fish with quinoa; Turkey chili; Granola bars
Oats with banana and nuts,Paneer wrap with veggies,Vegetable biryani,Fruit smoothie,Oats with banana and nuts; Paneer wrap with veggies; Vegetable biryani; Fruit smoothie
Protein shake with banana,Rajma chawal with salad,High-protein pasta,Banana and peanut butter,Protein shake with banana; Rajma chawal with salad; High-protein pasta; Banana and peanut butter
Upma with vegetables,Lentil curry with rice,Grilled chicken with salad,Nuts and dry fruits,Upma with vegetables; Lentil curry with rice; Grilled chicken with salad; Nuts and dry fruits
Protein shake with banana,Chicken curry with brown rice,Stuffed paneer chapati with salad,Banana and peanut butter,Protein shake with banana; Chicken curry with brown rice; Stuffed paneer chapati with salad; Banana and peanut butter
Multigrain toast with egg,Paneer wrap with veggies,Vegetable biryani,Fruit smoothie,Multigrain toast with egg; Paneer wrap with veggies; Vegetable biryani; Fruit smoothie
Protein shake with banana,Baked fish with quinoa,High-protein pasta,Banana and peanut butter,Protein shake with banana; Baked fish with quinoa; High-protein pasta; Banana and peanut butter
Paratha with curd,Baked fish with quinoa,High-protein pasta,Banana and peanut butter,Paratha with curd; Baked fish with quinoa; High-protein pasta; Banana and peanut butter
Upma with vegetables,Chicken salad with whole grain bread,Chapati with dal and mixed vegetables,Nuts and dry fruits,Upma with vegetables; Chicken salad with whole grain bread; Chapati with dal and mixed vegetables; Nuts and dry fruits
Oats with almond milk,Brown rice with spinach curry,Light tofu stir-fry,Cucumber sticks,Oats with almond milk; Brown rice with spinach curry; Light tofu stir-fry; Cucumber sticks
Oats with banana and nuts,Paneer wrap with veggies,Chapati with dal and mixed vegetables,Nuts and dry fruits,Oats with banana and nuts; Paneer wrap with veggies; Chapati with dal and mixed vegetables; Nuts and dry fruits
Upma with vegetables,Chicken salad with whole grain bread,Vegetable biryani,Fruit smoothie,Upma with vegetables; Chicken salad with whole grain bread; Vegetable biryani; Fruit smoothie
Multigrain toast with egg,Paneer wrap with veggies,Vegetable biryani,Boiled eggs,Multigrain toast with egg; Paneer wrap with veggies; Vegetable biryani; Boiled eggs
Protein shake with banana,Rajma chawal with salad,Turkey chili,Banana and peanut butter,Protein shake with banana; Rajma chawal with salad; Turkey chili; Banana and peanut butter
Oats with banana and nuts,Lentil curry with rice,Chapati with dal and mixed vegetables,Boiled eggs,Oats with banana and nuts; Lentil curry with rice; Chapati with dal and mixed vegetables; Boiled eggs
Protein shake with banana,Baked fish with quinoa,Stuffed paneer chapati with salad,Nut mix with raisins,Protein shake with banana; Baked fish with quinoa; Stuffed paneer chapati with salad; Nut mix with raisins
Oats with banana and nuts,Paneer wrap with veggies,Chapati with dal and mixed vegetables,Fruit smoothie,Oats with banana and nuts; Paneer wrap with veggies; Chapati with dal and mixed vegetables; Fruit smoothie
Paratha with curd,Chicken curry with brown rice,High-protein pasta,Granola bars,Paratha with curd; Chicken curry with brown rice; High-protein pasta; Granola bars
Multigrain toast with egg,Paneer wrap with veggies,Vegetable biryani,Nuts and dry fruits,Multigrain toast with egg; Paneer wrap with veggies; Vegetable biryani; Nuts and dry fruits
Protein shake with banana,Baked fish with quinoa,Stuffed paneer chapati with salad,Nut mix with raisins,Protein shake with banana; Baked fish with quinoa; Stuffed paneer chapati with salad; Nut mix with raisins
Multigrain toast with egg,Paneer wrap with veggies,Grilled chicken with salad,Fruit smoothie,Multigrain toast with egg; Paneer wrap with veggies; Grilled chicken with salad; Fruit smoothie
Multigrain toast with egg,Chicken salad with whole grain bread,Vegetable biryani,Boiled eggs,Multigrain toast with egg; Chicken salad with whole grain bread; Vegetable biryani; Boiled eggs
Fruit and chia seeds,Grilled vegetables with lentils,Quinoa salad with steamed veggies,Cucumber sticks,Fruit and chia seeds; Grilled vegetables with lentils; Quinoa salad with steamed veggies; Cucumber sticks
Egg sandwich,Rajma chawal with salad,Turkey chili,Nut mix with raisins,Egg sandwich; Rajma chawal with salad; Turkey chili; Nut mix with raisins
Paratha with curd,Baked fish with quinoa,High-protein pasta,Granola bars,Paratha with curd; Baked fish with quinoa; High-protein pasta; Granola bars
Oats with banana and nuts,Chicken salad with whole grain bread,Vegetable biryani,Boiled eggs,Oats with banana and nuts; Chicken salad with whole grain bread; Vegetable biryani; Boiled eggs
Protein shake with banana,Rajma chawal with salad,Stuffed paneer chapati with salad,Banana and peanut butter,Protein shake with banana; Rajma chawal with salad; Stuffed paneer chapati with salad; Banana and peanut butter
