Dietary Preference,Breakfast Suggestion,Lunch Suggestion,Dinner Suggestion,Snack Suggestion,Meal Plan,Budget Preferences
veg,Upma with vegetables,Paneer wrap with veggies,Chapati with dal and mixed vegetables,Fruit smoothie,Upma with vegetables; Paneer wrap with veggies; Chapati with dal and mixed vegetables; Fruit smoothie,low
vegan,Fruit and chia seeds,Grilled vegetables with lentils,Quinoa salad with steamed veggies,Apple slices with peanut butter,Fruit and chia seeds; Grilled vegetables with lentils; Quinoa salad with steamed veggies; Apple slices with peanut butter,high
veg,Upma with vegetables,Lentil curry with rice,Grilled paneer with salad,Fruit smoothie,Upma with vegetables; Lentil curry with rice; Grilled paneer with salad; Fruit smoothie,low
vegan,Egg sandwich,Chicken curry with brown rice,Stuffed paneer chapati with salad,Granola bars,Egg sandwich; Chicken curry with brown rice; Stuffed paneer chapati with salad; Granola bars,low
veg,Paratha with curd,paneer curry with brown rice,High-protein pasta,Banana and peanut butter,Paratha with curd; paneer curry with brown rice; High-protein pasta; Banana and peanut butter,low
veg,Multigrain toast with tofu,Lentil curry with rice,Vegetable biryani,Boiled tofu,Multigrain toast with tofu; Lentil curry with rice; Vegetable biryani; Boiled tofu,low
vegan,Egg sandwich,Chicken curry with brown rice,High-protein pasta,Granola bars,Egg sandwich; Chicken curry with brown rice; High-protein pasta; Granola bars,low
veg,tofu sandwich,Baked tofu with quinoa,tofu chili,Nut mix with raisins,tofu sandwich; Baked tofu with quinoa; tofu chili; Nut mix with raisins,low
vegan,Upma with vegetables,Paneer wrap with veggies,Grilled chicken with salad,Nuts and dry fruits,Upma with vegetables; Paneer wrap with veggies; Grilled chicken with salad; Nuts and dry fruits,low
non-veg,Oats with banana and nuts,Paneer wrap with veggies,Chapati with dal and mixed vegetables,Fruit smoothie,Oats with banana and nuts; Paneer wrap with veggies; Chapati with dal and mixed vegetables; Fruit smoothie,low
non-veg,Multigrain toast with egg,Lentil curry with rice,Vegetable biryani,Nuts and dry fruits,Multigrain toast with egg; Lentil curry with rice; Vegetable biryani; Nuts and dry fruits,low
non-veg,Paratha with curd,Rajma chawal with salad,Stuffed paneer chapati with salad,Granola bars,Paratha with curd; Rajma chawal with salad; Stuffed paneer chapati with salad; Granola bars,low
vegan,Multigrain toast with egg,Paneer wrap with veggies,Grilled chicken with salad,Boiled eggs,Multigrain toast with egg; Paneer wrap with veggies; Grilled chicken with salad; Boiled eggs,high
veg,tofu sandwich,paneer curry with brown rice,High-protein pasta,Nut mix with raisins,tofu sandwich; paneer curry with brown rice; High-protein pasta; Nut mix with raisins,low
vegan,Oats with banana and nuts,Paneer wrap with veggies,Chapati with dal and mixed vegetables,Fruit smoothie,Oats with banana and nuts; Paneer wrap with veggies; Chapati with dal and mixed vegetables; Fruit smoothie,low
non-veg,Oats with banana and nuts,Chicken salad with whole grain bread,Vegetable biryani,Fruit smoothie,Oats with banana and nuts; Chicken salad with whole grain bread; Vegetable biryani; Fruit smoothie,low
vegan,Low-fat yogurt with berries,Zucchini noodles with tomato sauce,Soup with whole grain toast,Cucumber sticks,Low-fat yogurt with berries; Zucchini noodles with tomato sauce; Soup with whole grain toast; Cucumber sticks,high
vegan,Multigrain toast with egg,Lentil curry with rice,Vegetable biryani,Fruit smoothie,Multigrain toast with egg; Lentil curry with rice; Vegetable biryani; Fruit smoothie,low
veg,tofu sandwich,paneer curry with brown rice,Stuffed paneer chapati with salad,Nut mix with raisins,tofu sandwich; paneer curry with brown rice; Stuffed paneer chapati with salad; Nut mix with raisins,low
vegan,Protein shake with banana,Rajma chawal with salad,Stuffed paneer chapati with salad,Granola bars,Protein shake with banana; Rajma chawal with salad; Stuffed paneer chapati with salad; Granola bars,low
non-veg,Protein shake with banana,Rajma chawal with salad,Turkey chili,Banana and peanut butter,Protein shake with banana; Rajma chawal with salad; Turkey chili; Banana and peanut butter,low
veg,Oats with banana and nuts,Paneer wrap with veggies,Grilled paneer with salad,Nuts and dry fruits,Oats with banana and nuts; Paneer wrap with veggies; Grilled paneer with salad; Nuts and dry fruits,low
non-veg,Paratha with curd,Rajma chawal with salad,High-protein pasta,Granola bars,Paratha with curd; Rajma chawal with salad; High-protein pasta; Granola bars,low
non-veg,Multigrain toast with egg,Lentil curry with rice,Grilled chicken with salad,Fruit smoothie,Multigrain toast with egg; Lentil curry with rice; Grilled chicken with salad; Fruit smoothie,low
non-veg,Oats with banana and nuts,Paneer wrap with veggies,Grilled chicken with salad,Boiled eggs,Oats with banana and nuts; Paneer wrap with veggies; Grilled chicken with salad; Boiled eggs,low
vegan,Egg sandwich,Chicken curry with brown rice,High-protein pasta,Granola bars,Egg sandwich; Chicken curry with brown rice; High-protein pasta; Granola bars,low
vegan,Oats with banana and nuts,Lentil curry with rice,Grilled chicken with salad,Boiled eggs,Oats with banana and nuts; Lentil curry with rice; Grilled chicken with salad; Boiled eggs,low
non-veg,Multigrain toast with egg,Lentil curry with rice,Grilled chicken with salad,Boiled eggs,Multigrain toast with egg; Lentil curry with rice; Grilled chicken with salad; Boiled eggs,low
non-veg,Paratha with curd,Chicken curry with brown rice,High-protein pasta,Banana and peanut butter,Paratha with curd; Chicken curry with brown rice; High-protein pasta; Banana and peanut butter,low
vegan,Upma with vegetables,Lentil curry with rice,Grilled chicken with salad,Fruit smoothie,Upma with vegetables; Lentil curry with rice; Grilled chicken with salad; Fruit smoothie,low
veg,Fruit and chia seeds,Zucchini noodles with tomato sauce,Soup with whole grain toast,Cucumber sticks,Fruit and chia seeds; Zucchini noodles with tomato sauce; Soup with whole grain toast; Cucumber sticks,high
veg,tofu sandwich,paneer curry with brown rice,High-protein pasta,Banana and peanut butter,tofu sandwich; paneer curry with brown rice; High-protein pasta; Banana and peanut butter,low
non-veg,Multigrain toast with egg,Lentil curry with rice,Vegetable biryani,Fruit smoothie,Multigrain toast with egg; Lentil curry with rice; Vegetable biryani; Fruit smoothie,low
veg,Multigrain toast with tofu,paneer salad with whole grain bread,Chapati with dal and mixed vegetables,Boiled tofu,Multigrain toast with tofu; paneer salad with whole grain bread; Chapati with dal and mixed vegetables; Boiled tofu,low
veg,Paratha with curd,Baked tofu with quinoa,High-protein pasta,Nut mix with raisins,Paratha with curd; Baked tofu with quinoa; High-protein pasta; Nut mix with raisins,low
non-veg,Low-fat yogurt with berries,Grilled vegetables with lentils,Soup with whole grain toast,Cucumber sticks,Low-fat yogurt with berries; Grilled vegetables with lentils; Soup with whole grain toast; Cucumber sticks,low
non-veg,Low-fat yogurt with berries,Zucchini noodles with tomato sauce,Soup with whole grain toast,Roasted seeds,Low-fat yogurt with berries; Zucchini noodles with tomato sauce; Soup with whole grain toast; Roasted seeds,high
veg,Protein shake with banana,Rajma chawal with salad,High-protein pasta,Granola bars,Protein shake with banana; Rajma chawal with salad; High-protein pasta; Granola bars,low
vegan,Egg sandwich,Chicken curry with brown rice,High-protein pasta,Nut mix with raisins,Egg sandwich; Chicken curry with brown rice; High-protein pasta; Nut mix with raisins,low
non-veg,Paratha with curd,Chicken curry with brown rice,Stuffed paneer chapati with salad,Nut mix with raisins,Paratha with curd; Chicken curry with brown rice; Stuffed paneer chapati with salad; Nut mix with raisins,low
non-veg,Egg sandwich,Rajma chawal with salad,Stuffed paneer chapati with salad,Nut mix with raisins,Egg sandwich; Rajma chawal with salad; Stuffed paneer chapati with salad; Nut mix with raisins,low
non-veg,Low-fat yogurt with berries,Grilled vegetables with lentils,Quinoa salad with steamed veggies,Roasted seeds,Low-fat yogurt with berries; Grilled vegetables with lentils; Quinoa salad with steamed veggies; Roasted seeds,low
vegan,Low-fat yogurt with berries,Brown rice with spinach curry,Soup with whole grain toast,Cucumber sticks,Low-fat yogurt with berries; Brown rice with spinach curry; Soup with whole grain toast; Cucumber sticks,low
veg,Protein shake with banana,Baked tofu with quinoa,tofu chili,Granola bars,Protein shake with banana; Baked tofu with quinoa; tofu chili; Granola bars,low
non-veg,Protein shake with banana,Chicken curry with brown rice,High-protein pasta,Banana and peanut butter,Protein shake with banana; Chicken curry with brown rice; High-protein pasta; Banana and peanut butter,low
vegan,Oats with banana and nuts,Paneer wrap with veggies,Vegetable biryani,Nuts and dry fruits,Oats with banana and nuts; Paneer wrap with veggies; Vegetable biryani; Nuts and dry fruits,low
vegan,Egg sandwich,Baked fish with quinoa,Turkey chili,Banana and peanut butter,Egg sandwich; Baked fish with quinoa; Turkey chili; Banana and peanut butter,low
non-veg,Egg sandwich,Baked fish with quinoa,High-protein pasta,Nut mix with raisins,Egg sandwich; Baked fish with quinoa; High-protein pasta; Nut mix with raisins,high
veg,Multigrain toast with tofu,Paneer wrap with veggies,Grilled paneer with salad,Fruit smoothie,Multigrain toast with tofu; Paneer wrap with veggies; Grilled paneer with salad; Fruit smoothie,low
veg,tofu sandwich,Rajma chawal with salad,tofu chili,Granola bars,tofu sandwich; Rajma chawal with salad; tofu chili; Granola bars,low
vegan,Oats with banana and nuts,Lentil curry with rice,Vegetable biryani,Fruit smoothie,Oats with banana and nuts; Lentil curry with rice; Vegetable biryani; Fruit smoothie,low
non-veg,Multigrain toast with egg,Lentil curry with rice,Vegetable biryani,Nuts and dry fruits,Multigrain toast with egg; Lentil curry with rice; Vegetable biryani; Nuts and dry fruits,low
non-veg,Egg sandwich,Baked fish with quinoa,High-protein pasta,Granola bars,Egg sandwich; Baked fish with quinoa; High-protein pasta; Granola bars,high
non-veg,Protein shake with banana,Rajma chawal with salad,High-protein pasta,Nut mix with raisins,Protein shake with banana; Rajma chawal with salad; High-protein pasta; Nut mix with raisins,low
vegan,Low-fat yogurt with berries,Zucchini noodles with tomato sauce,Soup with whole grain toast,Roasted seeds,Low-fat yogurt with berries; Zucchini noodles with tomato sauce; Soup with whole grain toast; Roasted seeds,high
non-veg,Oats with banana and nuts,Paneer wrap with veggies,Vegetable biryani,Fruit smoothie,Oats with banana and nuts; Paneer wrap with veggies; Vegetable biryani; Fruit smoothie,low
non-veg,Egg sandwich,Baked fish with quinoa,High-protein pasta,Banana and peanut butter,Egg sandwich; Baked fish with quinoa; High-protein pasta; Banana and peanut butter,low
vegan,Upma with vegetables,Paneer wrap with veggies,Chapati with dal and mixed vegetables,Boiled eggs,Upma with vegetables; Paneer wrap with veggies; Chapati with dal and mixed vegetables; Boiled eggs,low
veg,tofu sandwich,paneer curry with brown rice,High-protein pasta,Granola bars,tofu sandwich; paneer curry with brown rice; High-protein pasta; Granola bars,low
veg,Protein shake with banana,Rajma chawal with salad,Stuffed paneer chapati with salad,Banana and peanut butter,Protein shake with banana; Rajma chawal with salad; Stuffed paneer chapati with salad; Banana and peanut butter,low
vegan,Paratha with curd,Rajma chawal with salad,High-protein pasta,Granola bars,Paratha with curd; Rajma chawal with salad; High-protein pasta; Granola bars,low
non-veg,Paratha with curd,Chicken curry with brown rice,Stuffed paneer chapati with salad,Granola bars,Paratha with curd; Chicken curry with brown rice; Stuffed paneer chapati with salad; Granola bars,low
veg,Upma with vegetables,Paneer wrap with veggies,Vegetable biryani,Fruit smoothie,Upma with vegetables; Paneer wrap with veggies; Vegetable biryani; Fruit smoothie,low
non-veg,Oats with banana and nuts,Paneer wrap with veggies,Vegetable biryani,Nuts and dry fruits,Oats with banana and nuts; Paneer wrap with veggies; Vegetable biryani; Nuts and dry fruits,low
veg,tofu sandwich,Baked tofu with quinoa,High-protein pasta,Granola bars,tofu sandwich; Baked tofu with quinoa; High-protein pasta; Granola bars,high
vegan,Protein shake with banana,Rajma chawal with salad,High-protein pasta,Granola bars,Protein shake with banana; Rajma chawal with salad; High-protein pasta; Granola bars,low
non-veg,Multigrain toast with egg,Chicken salad with whole grain bread,Chapati with dal and mixed vegetables,Boiled eggs,Multigrain toast with egg; Chicken salad with whole grain bread; Chapati with dal and mixed vegetables; Boiled eggs,low
non-veg,Multigrain toast with egg,Chicken salad with whole grain bread,Grilled chicken with salad,Fruit smoothie,Multigrain toast with egg; Chicken salad with whole grain bread; Grilled chicken with salad; Fruit smoothie,low
non-veg,Oats with banana and nuts,Paneer wrap with veggies,Chapati with dal and mixed vegetables,Fruit smoothie,Oats with banana and nuts; Paneer wrap with veggies; Chapati with dal and mixed vegetables; Fruit smoothie,low
non-veg,Multigrain toast with egg,Chicken salad with whole grain bread,Grilled chicken with salad,Nuts and dry fruits,Multigrain toast with egg; Chicken salad with whole grain bread; Grilled chicken with salad; Nuts and dry fruits,low
non-veg,Paratha with curd,Chicken curry with brown rice,Turkey chili,Nut mix with raisins,Paratha with curd; Chicken curry with brown rice; Turkey chili; Nut mix with raisins,low
non-veg,Multigrain toast with egg,Paneer wrap with veggies,Vegetable biryani,Nuts and dry fruits,Multigrain toast with egg; Paneer wrap with veggies; Vegetable biryani; Nuts and dry fruits,high
veg,Upma with vegetables,Lentil curry with rice,Chapati with dal and mixed vegetables,Nuts and dry fruits,Upma with vegetables; Lentil curry with rice; Chapati with dal and mixed vegetables; Nuts and dry fruits,low
vegan,Oats with almond milk,Grilled vegetables with lentils,Light tofu stir-fry,Roasted seeds,Oats with almond milk; Grilled vegetables with lentils; Light tofu stir-fry; Roasted seeds,low
vegan,Protein shake with banana,Chicken curry with brown rice,Stuffed paneer chapati with salad,Banana and peanut butter,Protein shake with banana; Chicken curry with brown rice; Stuffed paneer chapati with salad; Banana and peanut butter,low
vegan,Egg sandwich,Chicken curry with brown rice,Stuffed paneer chapati with salad,Granola bars,Egg sandwich; Chicken curry with brown rice; Stuffed paneer chapati with salad; Granola bars,low
